;DATE;HOME;AWAY;HALF_TIME_HOME_GOALS;HALF_TIME_AWAY_GOALS;FULL_TIME_HOME_GOALS;FULL_TIME_AWAY_GOALS;FULL_TIME_RESULT;MAX_HOME_ODDS;MAX_DRAW_ODDS;MAX_AWAY_ODDS;AVG_HOME_ODDS;AVG_DRAW_ODDS;AVG_AWAY_ODDS;MAX_INITIAL_HOME_ODDS;MAX_INITIAL_DRAW_ODDS;MAX_INITIAL_AWAY_ODDS;AVG_INITIAL_HOME_ODDS;AVG_INITIAL_DRAW_ODDS;AVG_INITIAL_AWAY_ODDS
37;11/09/2021;Chelsea;Aston Villa;1;0;3;0;H;1,33;5,75;12,94;1,3;5,46;11,28;1,4;5,6;12,3;1,34;5,29;9,78
38;12/09/2021;Leeds;Liverpool;0;1;0;3;A;4,7;4,2;1,83;4,34;4,05;1,78;5,2;4,6;1,75;4,86;4,31;1,67
39;13/09/2021;Everton;Burnley;0;0;3;1;H;1,8;3,83;5,4;1,75;3,71;5,01;1,85;3,74;5,74;1,78;3,52;5,23
40;17/09/2021;Newcastle;Leeds;1;1;1;1;D;3,15;3,75;2,42;3,01;3,62;2,33;3,25;3,8;2,34;3,09;3,67;2,26
41;18/09/2021;Wolves;Brentford;0;2;0;2;A;1,95;3,35;5;1,9;3,27;4,83;1,92;3,45;5,61;1,83;3,35;5,1
42;18/09/2021;Burnley;Arsenal;0;1;0;1;A;4;3,66;2,1;3,82;3,5;2,03;4,14;3,79;2,11;3,76;3,63;2,01
43;18/09/2021;Liverpool;Crystal Palace;1;0;3;0;H;1,25;7,3;17;1,22;6,84;14,04;1,33;7;15,1;1,27;6,16;11,26
44;18/09/2021;Man City;Southampton;0;0;0;0;D;1,19;9,5;21;1,15;8,46;18,55;1,2;9;23;1,17;8,1;16,62
45;18/09/2021;Norwich;Watford;1;1;1;3;A;2,28;3,52;3,6;2,18;3,39;3,47;2,41;3,5;3,52;2,3;3,3;3,34
46;18/09/2021;Aston Villa;Everton;0;0;3;0;H;2,5;3,51;3,19;2,4;3,36;3,06;2,39;3,5;3,65;2,18;3,36;3,52
47;19/09/2021;Brighton;Leicester;1;0;2;1;H;2,88;3,42;2,85;2,75;3,23;2,73;2,65;3,35;3,16;2,52;3,22;3,02
48;19/09/2021;West Ham;Man United;1;1;1;2;A;4,84;4,05;1,83;4,51;3,9;1,78;4,63;4;1,92;4,38;3,77;1,83
49;19/09/2021;Tottenham;Chelsea;0;0;0;3;A;5,1;4,05;1,81;4,89;3,83;1,74;4,82;3,6;2,06;4,2;3,41;1,97
50;25/09/2021;Chelsea;Man City;0;0;0;1;A;2,78;3,36;2,9;2,66;3,26;2,79;3,04;3,3;2,75;2,89;3,18;2,64
51;25/09/2021;Man United;Aston Villa;0;0;0;1;A;1,43;5,5;8,5;1,4;5,08;7,84;1,45;5,25;8,83;1,4;4,99;7,82
52;25/09/2021;Everton;Norwich;1;0;2;0;H;1,68;4;6,5;1,63;3,86;5,96;1,75;3,85;6;1,69;3,76;5,53
53;25/09/2021;Leeds;West Ham;1;0;1;2;A;3,18;3,75;2,4;3,04;3,67;2,29;3,19;3,75;2,45;2,95;3,6;2,36
54;25/09/2021;Leicester;Burnley;1;2;2;2;D;1,64;4,25;6,5;1,59;4,05;6,12;1,76;4,1;6,25;1,68;3,86;5,32
55;25/09/2021;Watford;Newcastle;0;1;1;1;D;2,35;3,5;3,47;2,27;3,37;3,32;2,35;3,61;3,76;2,13;3,48;3,52
56;25/09/2021;Brentford;Liverpool;1;1;3;3;D;7,5;4,65;1,53;6,96;4,48;1,49;8,3;5,25;1,56;7,58;4,86;1,42
57;26/09/2021;Southampton;Wolves;0;0;0;1;A;2,78;3,38;2,92;2,65;3,24;2,83;2,7;3,42;3,83;2,21;3,3;3,52
58;26/09/2021;Arsenal;Tottenham;3;0;3;1;H;2,38;3,5;3,55;2,28;3,31;3,35;2,32;3,5;3,74;2,2;3,39;3,45
59;27/09/2021;Crystal Palace;Brighton;1;0;1;1;D;3,16;3,25;2,67;3,04;3,15;2,54;3;3,2;2,8;2,9;3,09;2,69
60;02/10/2021;Man United;Everton;1;0;1;1;D;1,54;4,55;7,59;1,5;4,38;7,08;1,61;4,45;7,43;1,54;4,24;6,48
61;02/10/2021;Burnley;Norwich;0;0;0;0;D;1,94;3,71;4,54;1,88;3,61;4,33;2,02;3,67;4,2;1,96;3,54;4,01
62;02/10/2021;Chelsea;Southampton;1;0;3;1;H;1,42;5,13;10;1,38;4,9;8,92;1,47;5;9,2;1,42;4,73;7,94
63;02/10/2021;Leeds;Watford;1;0;1;0;H;1,83;4,13;4,9;1,76;3,9;4,63;1,8;4,1;4,9;1,76;3,95;4,6
64;02/10/2021;Wolves;Newcastle;1;1;2;1;H;1,75;4,2;5,5;1,69;4;5,02;1,87;3,92;5,31;1,78;3,71;4,75
65;02/10/2021;Brighton;Arsenal;0;0;0;0;D;3,2;3,34;2,6;3,05;3,22;2,5;3,52;3,4;2,52;3,24;3,29;2,35
66;03/10/2021;Crystal Palace;Leicester;0;2;2;2;D;3,2;3,52;2,44;3,11;3,41;2,36;2,9;3,37;2,75;2,82;3,25;2,64
67;03/10/2021;Tottenham;Aston Villa;1;0;2;1;H;2,2;3,65;3,66;2,12;3,53;3,5;2,22;3,6;4,06;2,11;3,44;3,65
68;03/10/2021;West Ham;Brentford;0;1;1;2;A;1,86;3,85;4,9;1,82;3,62;4,67;1,88;3,85;5,13;1,78;3,72;4,81
69;03/10/2021;Liverpool;Man City;0;0;2;2;D;3;3,75;2,52;2,9;3,53;2,43;3,2;3,97;2,45;3,02;3,56;2,35
70;16/10/2021;Watford;Liverpool;0;2;0;5;A;9,5;5,75;1,39;8,67;5,33;1,36;9,89;5,88;1,39;8,61;5,48;1,35
71;16/10/2021;Aston Villa;Wolves;0;0;2;3;A;2,36;3,4;3,56;2,25;3,28;3,42;2,4;3,35;4,1;2,13;3,2;3,84
72;16/10/2021;Leicester;Man United;1;1;4;2;H;3,72;3,7;2,18;3,49;3,59;2,1;3,9;3,97;2,15;3,66;3,75;2
73;16/10/2021;Man City;Burnley;1;0;2;0;H;1,14;10,5;29;1,12;9,47;22,12;1,16;9,71;23;1,14;8,96;19,09
74;16/10/2021;Norwich;Brighton;0;0;0;0;D;3,86;3,41;2,21;3,67;3,34;2,13;4,35;3,71;2,2;4,03;3,49;1,97
75;16/10/2021;Southampton;Leeds;0;0;1;0;H;2,48;3,77;3,07;2,4;3,52;2,93;2,38;3,74;3,55;2,16;3,58;3,34
76;16/10/2021;Brentford;Chelsea;0;1;0;1;A;6,75;4;1,66;6,37;3,84;1,6;6,4;4;1,77;5,58;3,83;1,66
77;17/10/2021;Everton;West Ham;0;0;0;1;A;2,64;3,58;3,02;2,52;3,35;2,89;2,95;3,52;2,8;2,84;3,27;2,61
78;17/10/2021;Newcastle;Tottenham;1;3;2;3;A;3,84;3,75;2,15;3,51;3,58;2,09;3,9;3,75;2,2;3,56;3,61;2,07
